,feature,importance
6,accommodates,0.10133388549633732
34,bedrooms,0.08204849042481147
15,beds,0.04932606742131656
63,bathrooms_shared,0.04575254347284024
10,bathrooms,0.04235170831681947
60,room_type__Private room,0.039493090962225315
33,room_type__Entire home/apt,0.036902485454716596
0,tourism_restaurant,0.03564246349401503
9,tourism_hotel,0.03207197555878194
3,tourism_total,0.02923850215798086
2,distance_to_center_km,0.028550955920357748
13,tourism_touristattraction,0.027881837607174238
57,calculated_host_listings_count_private_rooms,0.026939512217245096
1,host_experience_days,0.024100863779440887
11,tourism_sportsactivitylocation,0.02353623329907975
16,tourism_barorpub,0.0233197153564949
8,noise_day,0.02075134066150938
4,noise_night,0.019881704578497535
18,amenity_count,0.018684577990034697
7,host_total_listings_count,0.01727027379662675
5,tourism_points_within_radius,0.015511106995344782
20,number_of_reviews,0.014843624189637679
25,reviews_per_month,0.014652298373415237
17,host_acceptance_rate,0.013686144653773302
23,listing_age_days,0.013021315682208955
37,number_of_reviews_ltm,0.012795590586772406
22,days_since_last_review,0.012693700220560437
32,noise_points_within_radius,0.010944872632459843
21,review_scores_cleanliness,0.010508457559769235
24,review_scores_rating,0.009188193126439079
29,review_scores_location,0.007907432459317545
19,host_response_rate,0.007549102503239081
27,review_scores_checkin,0.00750454960877926
30,review_scores_value,0.0072398149359885755
28,review_scores_communication,0.0070068425912211295
26,review_scores_accuracy,0.006699440713079493
58,instant_bookable,0.005423592065311493
56,number_of_reviews_l30d,0.005200228224630146
59,host_is_superhost,0.005105115880671831
70,neighbourhood_group_cleansed__Kreis 1,0.004781312472500861
53,has_dishwasher,0.004727891258896229
31,has_kitchen,0.0037306873081455177
50,has_self_check-in,0.0035170910521287735
39,has_hair_dryer,0.003461120649288006
49,has_shampoo,0.0034383083546298838
61,host_response_time__within a few hours,0.003268587595235224
46,host_response_time__within an hour,0.002971032584832139
51,has_long_term_stays_allowed,0.002871604864942659
64,host_response_time__within a day,0.0024525928485947595
55,has_washer,0.0023235934964087267
42,has_cooking_basics,0.0022920532608683816
47,has_dedicated_workspace,0.0021461916434427535
45,has_iron,0.002132958603236876
48,has_heating,0.0020562746824085557
38,has_hot_water,0.002047638260161539
40,has_dishes_and_silverware,0.001973021537528017
35,has_wifi,0.0019282031193745652
52,has_oven,0.0017947656530293953
43,has_hangers,0.001742118605408934
54,has_hot_water_kettle,0.0017323411492092663
41,has_refrigerator,0.0016589454268376475
68,neighbourhood_group_cleansed__Kreis 8,0.001482661661565298
36,has_essentials,0.0014804107224912503
44,has_bed_linens,0.0014133110490426102
69,neighbourhood_group_cleansed__Kreis 9,0.0014011200764462934
62,neighbourhood_group_cleansed__Kreis 3,0.0013267461793234742
75,neighbourhood_cleansed__Altstetten,0.0012765817491339824
92,neighbourhood_cleansed__Oberstrass,0.0010957222729063186
67,neighbourhood_group_cleansed__Kreis 7,0.0010856361988990043
66,neighbourhood_group_cleansed__Kreis 11,0.0010399831124942936
76,neighbourhood_group_cleansed__Kreis 10,0.0009319783733024313
65,neighbourhood_group_cleansed__Kreis 4,0.0009316534822667289
95,neighbourhood_cleansed__Affoltern,0.0009232294421453841
14,host_identity_verified,0.000918561451223952
73,neighbourhood_group_cleansed__Kreis 6,0.0008833020763721151
89,neighbourhood_cleansed__Seefeld,0.0008613611247483277
74,neighbourhood_cleansed__Langstrasse,0.0008202029542656666
72,neighbourhood_cleansed__Sihlfeld,0.000813784052529402
71,neighbourhood_group_cleansed__Kreis 2,0.000756072161636529
90,neighbourhood_cleansed__Wipkingen,0.0006205970519476278
100,neighbourhood_cleansed__Albisrieden,0.0005532566165304373
77,neighbourhood_cleansed__Oerlikon,0.0005386972251029859
80,host_response_time__a few days or more,0.0005256551486406589
81,neighbourhood_group_cleansed__Kreis 5,0.0005231023623020173
101,neighbourhood_cleansed__Witikon,0.000506129896360826
85,neighbourhood_cleansed__Wollishofen,0.0005019784328638571
79,neighbourhood_cleansed__Rathaus,0.0005012022513677024
97,neighbourhood_cleansed__Friesenberg,0.00048201328925645917
84,neighbourhood_cleansed__Hard,0.00041597776163472577
83,neighbourhood_cleansed__Enge,0.00041056969689749995
96,neighbourhood_cleansed__Werd,0.0003763195689580281
82,neighbourhood_cleansed__Unterstrass,0.0003599919957694498
78,neighbourhood_cleansed__Alt-Wiedikon,0.0003451543117773546
98,neighbourhood_group_cleansed__Kreis 12,0.000344127224037909
86,neighbourhood_cleansed__Hottingen,0.00034410376739046303
87,neighbourhood_cleansed__Mühlebach,0.0003383035057789324
88,neighbourhood_cleansed__Gewerbeschule,0.00028625013717651493
99,neighbourhood_cleansed__Hirslanden,0.0002554451486337105
93,neighbourhood_cleansed__Höngg,0.00023558342017413212
91,neighbourhood_cleansed__Seebach,0.00020282400160021884
12,host_has_profile_pic,0.0001555716716133358
94,neighbourhood_cleansed__Weinegg,0.0001268419773581744
